id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
42,Activity E,2023-11-28 10:15:25.330798,2023-11-28 10:15:25.330798,2023-11-28 10:16:13.869195,R6,R6,5,5,5,1,[],1.0,48.538397225368655,['Activity E'],{},{}
37,Activity F,2023-11-28 10:15:08.181133,2023-11-28 10:15:08.181133,2023-11-28 10:16:25.930834,R5,R5,4,4,5,1,[],1.0,77.74970070328501,"['Activity E', 'Activity F']",{},{}
42,Activity F,2023-11-28 10:16:13.869195,2023-11-28 10:16:13.869195,2023-11-28 10:16:37.282632,R6,R6,5,5,5,2,[],1.0,23.413437297073386,"['Activity E', 'Activity F']",{},{}
43,Activity E,2023-11-28 10:16:25.930834,2023-11-28 10:16:25.930834,2023-11-28 10:17:00.835579,R5,R5,5,5,5,1,[],1.0,34.90474535064179,['Activity E'],{},{}
44,Activity E,2023-11-28 10:16:37.282632,2023-11-28 10:16:37.282632,2023-11-28 10:17:57.607088,R6,R6,5,5,5,2,[],1.0,80.32445590177646,['Activity E'],{},{}
45,Activity E,2023-11-28 10:17:57.607088,2023-11-28 10:17:57.607088,2023-11-28 10:18:41.445038,R6,R6,6,6,6,1,[],1.0,43.83794999860365,['Activity E'],{},{}
43,Activity F,2023-11-28 10:17:00.835579,2023-11-28 10:17:00.835579,2023-11-28 10:19:58.471498,R5,R5,5,5,6,1,[],1.0,177.63591834648702,"['Activity E', 'Activity F']",{},{}
44,Activity F,2023-11-28 10:19:58.471498,2023-11-28 10:19:58.471498,2023-11-28 10:21:14.244788,R5,R5,5,5,5,2,[],1.0,75.77329005713096,"['Activity E', 'Activity F']",{},{}
45,Activity F,2023-11-28 10:18:41.445038,2023-11-28 10:18:41.445038,2023-11-28 10:22:26.064325,R6,R6,6,6,4,2,[],1.0,224.61928696006396,"['Activity E', 'Activity F']",{},{}
41,Activity F,2023-11-28 10:21:14.244788,2023-11-28 10:21:14.244788,2023-11-28 10:22:32.486968,R5,R5,4,4,3,2,[],1.0,78.24218059508632,"['Activity E', 'Activity F']",{},{}
40,Activity F,2023-11-28 10:22:26.064325,2023-11-28 10:22:26.064325,2023-11-28 10:24:06.502403,R6,R6,3,3,2,2,[],1.0,100.43807781638306,"['Activity E', 'Activity F']",{},{}
