id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
97,Activity E,2023-11-28 10:23:37.338874,2023-11-28 10:23:37.338874,2023-11-28 10:24:06.899599,R6,R6,98,98,98,2,[],1.0,29.560724293754504,['Activity E'],{},{}
98,Activity E,2023-11-28 10:24:06.899599,2023-11-28 10:24:06.899599,2023-11-28 10:24:49.451502,R6,R6,99,99,99,2,[],1.0,42.55190324325907,['Activity E'],{},{}
99,Activity E,2023-11-28 10:24:49.451502,2023-11-28 10:24:49.451502,2023-11-28 10:25:44.213964,R6,R6,100,100,100,2,[],1.0,54.762461621804555,['Activity E'],{},{}
0,Activity F,2023-11-28 10:25:44.213964,2023-11-28 10:25:44.213964,2023-11-28 10:25:53.107220,R6,R6,100,100,100,1,[],1.0,8.8932561996299,"['Activity E', 'Activity F']",{},{}
95,Activity E,2023-11-28 10:22:04.678052,2023-11-28 10:22:04.678052,2023-11-28 10:27:02.384906,R5,R5,96,96,99,2,[],1.0,297.7068538145419,['Activity E'],{},{}
1,Activity F,2023-11-28 10:25:53.107220,2023-11-28 10:25:53.107220,2023-11-28 10:28:46.207979,R6,R6,99,99,99,1,[],1.0,173.1007589138299,"['Activity E', 'Activity F']",{},{}
3,Activity F,2023-11-28 10:27:02.384906,2023-11-28 10:27:02.384906,2023-11-28 10:29:17.854567,R5,R5,99,99,98,2,[],1.0,135.46966172937707,"['Activity E', 'Activity F']",{},{}
2,Activity F,2023-11-28 10:29:17.854567,2023-11-28 10:29:17.854567,2023-11-28 10:29:36.034713,R5,R5,97,97,97,2,[],1.0,18.18014547911186,"['Activity E', 'Activity F']",{},{}
6,Activity F,2023-11-28 10:29:36.034713,2023-11-28 10:29:36.034713,2023-11-28 10:30:43.863603,R5,R5,96,96,96,2,[],1.0,67.82889004407129,"['Activity E', 'Activity F']",{},{}
4,Activity F,2023-11-28 10:28:46.207979,2023-11-28 10:28:46.207979,2023-11-28 10:30:55.345745,R6,R6,98,98,95,2,[],1.0,129.1377667836763,"['Activity E', 'Activity F']",{},{}
7,Activity F,2023-11-28 10:30:43.863603,2023-11-28 10:30:43.863603,2023-11-28 10:32:44.933560,R5,R5,95,95,94,2,[],1.0,121.0699566996054,"['Activity E', 'Activity F']",{},{}
5,Activity F,2023-11-28 10:32:44.933560,2023-11-28 10:32:44.933560,2023-11-28 10:32:45.683003,R5,R5,93,93,93,2,[],1.0,0.749443543449597,"['Activity E', 'Activity F']",{},{}
10,Activity F,2023-11-28 10:32:45.683003,2023-11-28 10:32:45.683003,2023-11-28 10:32:54.386176,R5,R5,92,92,92,2,[],1.0,8.703172292806588,"['Activity E', 'Activity F']",{},{}
9,Activity F,2023-11-28 10:32:54.386176,2023-11-28 10:32:54.386176,2023-11-28 10:33:06.181477,R5,R5,91,91,91,2,[],1.0,11.795301242030417,"['Activity E', 'Activity F']",{},{}
12,Activity F,2023-11-28 10:33:06.181477,2023-11-28 10:33:06.181477,2023-11-28 10:34:17.405995,R5,R5,90,90,90,2,[],1.0,71.2245185207363,"['Activity E', 'Activity F']",{},{}
8,Activity F,2023-11-28 10:30:55.345745,2023-11-28 10:30:55.345745,2023-11-28 10:35:10.197010,R6,R6,94,94,89,2,[],1.0,254.85126462518647,"['Activity E', 'Activity F']",{},{}
